ID,TxtGridDir,NWavs,NTxtGrids,Task1_wav,Task1_Prompt,Task1_Kaldi,Task1_IBM,Task1_nSpeakers,Task2_wav,Task2_Prompt,Task2_Kaldi,Task2_IBM,Task2_nSpeakers,Task3_wav,Task4_wav,Task_5_wav,Task5_Prompt,Task5_Kaldi,Task5_IBM,Task5_nSpeakers
279,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
294,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
303,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
304,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
307,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
313,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
316,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
317,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
318,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
321,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
322,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
323,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
325,1,5,5,1,1,1,1,3,1,1,0,0,0,1,1,1,1,0,0,0
326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
343,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,1,5,2,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0
348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
351,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
352,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
353,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
376,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
377,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
378,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
379,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
